Brand,Product Name,Skin Type,Finish,Price (INR),Coverage
Swiss Beauty,Airbrush Finish Foundation,Dry,Natural,349,Medium
Swiss Beauty,Ultra Cover Liquid Foundation,Oily,Matte,299,Full
Swiss Beauty,HD Concealer Base Foundation,Combination,Matte,399,Medium
Swiss Beauty,Liquid Drop and Glow,Normal,Dewy,425,Light
Swiss Beauty,Perfect Match Foundation,Normal,Natural,250,Medium
Swiss Beauty,Skin Glow Enhancer,Dry,Dewy,499,Light
Swiss Beauty,Pearl Illuminator,Combination,Natural,550,Light
Swiss Beauty,Mineral Matte Foundation,Oily,Matte,310,Full
Swiss Beauty,24H Full Coverage,Combination,Matte,420,Full
Swiss Beauty,Air Finish Foundation Stick,Normal,Natural,299,Medium
Insight Cosmetics,Second Skin Foundation,Normal,Natural,240,Medium
Insight Cosmetics,Pro Full Cover Foundation,Oily,Matte,260,Full
Insight Cosmetics,Ultra-Thin Long-Wear,Combination,Natural,180,Light
Insight Cosmetics,Drop and Glow,Dry,Dewy,320,Light
Insight Cosmetics,Matte Cover Foundation,Oily,Matte,210,Full
Insight Cosmetics,Stay Matte Oil-Free Foundation,Oily,Matte,230,Full
Insight Cosmetics,HD High Coverage,Combination,Matte,275,Full
Insight Cosmetics,Luminous Finish Liquid,Dry,Dewy,290,Light
Insight Cosmetics,Second Skin Dewy,Normal,Dewy,245,Light
Insight Cosmetics,All-Day Glow,Combination,Natural,225,Medium
Faces Canada,Weightless Stay Matte Compact,Oily,Matte,499,Full
Faces Canada,Second Skin Foundation,Normal,Natural,749,Medium
Faces Canada,HD Intense Matte Finish,Oily,Matte,799,Full
Faces Canada,Weightless Matte Finish Compact,Combination,Matte,475,Full
Faces Canada,Ultime Pro Second Skin,Dry,Natural,849,Medium
Faces Canada,Ultime Pro Matte Mousse,Normal,Matte,700,Full
Faces Canada,Second Skin Dewy,Dry,Dewy,850,Light
Faces Canada,Perfect Match BB Cream,Combination,Natural,425,Medium
Faces Canada,Matte Mineral Compact,Oily,Matte,549,Full
Faces Canada,Weightless Stay Matte Compact,Normal,Natural,499,Medium
Faces Canada,High Definition Glow Foundation,Dry,Dewy,899,Light
Faces Canada,Second Skin Foundation,Combination,Natural,749,Medium
Faces Canada,Pro Last Foundation,Normal,Natural,950,Medium
Lakme,Absolute Matte,Oily,Matte,750,Full
Maybelline,Fit Me Matte + Poreless,Oily,Matte,500,Medium
L'Oréal Paris,Infallible Pro-Matte,Combination,Matte,1000,Full
Lakme,9 to 5 Weightless Mousse,Combination,Matte,600,Light
Maybelline,Super Stay Full Coverage,Normal,Matte,700,Full
L'Oréal Paris,True Match Foundation,Dry,Dewy,900,Medium
Lakme,Perfecting Liquid Foundation,Normal,Natural,500,Medium
